iter	Passed	Remaining
803	4280	1043
804	4284	1037
805	4288	1032
806	4292	1026
807	4296	1020
808	4301	1015
809	4306	1010
810	4311	1004
811	4318	999
812	4323	994
813	4326	988
814	4332	983
815	4337	977
816	4342	972
817	4349	967
818	4354	962
819	4360	957
820	4365	951
821	4373	947
822	4380	941
823	4385	936
824	4390	931
825	4400	926
826	4413	923
827	4421	918
828	4426	913
829	4431	907
830	4437	902
831	4442	896
832	4447	891
833	4452	886
834	4458	880
835	4463	875
836	4469	870
837	4475	865
838	4480	859
839	4486	854
840	4491	849
841	4496	843
842	4502	838
843	4507	833
844	4512	827
845	4518	822
846	4522	816
847	4527	811
848	4532	806
849	4543	801
850	4551	796
851	4556	791
852	4561	786
853	4567	780
854	4572	775
855	4578	770
856	4583	764
857	4589	759
858	4594	754
859	4599	748
860	4604	743
861	4607	737
862	4613	732
863	4617	726
864	4623	721
865	4633	716
866	4638	711
867	4642	705
868	4645	700
869	4649	694
870	4652	689
871	4655	683
872	4660	677
873	4663	672
874	4667	666
875	4671	661
876	4674	655
877	4679	650
878	4683	644
879	4687	639
880	4691	633
881	4695	628
882	4699	622
883	4704	617
884	4708	611
885	4711	606
886	4715	600
887	4718	595
888	4722	589
889	4726	584
890	4729	578
891	4732	573
892	4736	567
893	4739	561
894	4744	556
895	4747	551
896	4751	545
897	4754	540
898	4758	534
899	4763	529
900	4767	523
901	4770	518
902	4774	512
903	4779	507
904	4783	502
905	4787	496
906	4791	491
907	4794	485
908	4799	480
909	4803	475
910	4808	469
911	4813	464
912	4818	459
913	4823	453
914	4829	448
915	4833	443
916	4839	438
917	4845	432
918	4851	427
919	4856	422
920	4862	417
921	4867	411
922	4873	406
923	4878	401
924	4883	395
925	4889	390
926	4895	385
927	4900	380
928	4906	374
929	4911	369
930	4916	364
931	4921	359
932	4926	353
933	4931	348
934	4937	343
935	4942	337
936	4948	332
937	4952	327
938	4957	322
939	4962	316
940	4967	311
941	4973	306
942	4979	300
943	4984	295
944	4989	290
945	4995	285
946	5000	279
947	5005	274
948	5011	269
949	5017	264
950	5022	258
951	5026	253
952	5031	248
953	5037	242
954	5041	237
955	5046	232
956	5051	226
957	5057	221
958	5062	216
959	5067	211
960	5073	205
961	5078	200
962	5083	195
963	5088	190
964	5093	184
965	5099	179
966	5105	174
967	5110	168
968	5115	163
969	5121	158
970	5127	153
971	5132	147
972	5138	142
973	5142	137
974	5148	132
975	5153	126
976	5159	121
977	5165	116
978	5170	110
979	5176	105
980	5182	100
981	5193	95
982	5198	89
983	5208	84
984	5213	79
985	5217	74
986	5221	68
987	5224	63
988	5227	58
989	5231	52
990	5236	47
991	5241	42
992	5246	36
993	5251	31
994	5256	26
995	5262	21
996	5268	15
997	5277	10
998	5283	5
999	5289	0
